Hotel_lat,Hotel_lng,Hotel_City,Businesses_100m,Businesses_1km,Businesses_5km,Total_Number_of_Reviews
51.4954976,-0.1893691,London,10,926,11500,667
51.4946905,-0.1910197,London,15,956,11100,682
51.4963008,-0.1796853,London,7,723,14900,684
51.5140329,-0.1320651,London,138,5200,20600,687
51.5012329,-0.1859937,London,5,1200,12500,689
51.5743549,-0.0977567,London,6,260,17500,714
51.5144418,-0.146432,London,67,2600,20000,715
51.5213303,-0.2915052,London,2,123,3100,722
51.4891226,-0.1205639,London,6,727,21300,742
51.495179,-0.183827,London,17,791,13300,743
51.5141842,-0.3192925,London,9,179,2700,750
51.5189077,-0.1421957,London,50,3800,20100,754
51.5203266,-0.1245891,London,16,4000,21200,761
51.5152892,-0.160898,London,39,1100,19100,762
51.5126758,-0.1867828,London,66,963,12200,768
51.5189182,-0.0866009,London,18,2300,16200,769
51.5186801,-0.1354055,London,108,4700,20500,776
51.5128032,-0.07586,London,39,2200,12900,781
51.507374,-0.129135,London,21,4800,20600,784
51.515755,-0.1603335,London,28,1100,19000,800
51.4934752,-0.2153256,London,3,595,7700,812
51.5094835,-0.1362538,London,85,4600,20400,817
51.5197933,-0.1241844,London,35,4000,21200,823
51.5161286,-0.0624458,London,13,732,10800,830
51.5069446,-0.1415776,London,31,4000,20100,831
51.4943935,-0.1750169,London,58,787,16100,833
51.5731061,-0.2233332,London,0,161,4300,835
51.5265189,-0.1303689,London,13,3600,20600,843
51.4991134,-0.0790969,London,12,956,13600,844
51.519616,-0.1218432,London,48,3400,21400,845
51.498905,-0.1339093,London,31,3500,20600,857
51.510843,-0.1314287,London,181,5200,20600,863
51.5110114,-0.0771251,London,25,2100,13100,872
51.4925478,-0.1780611,London,15,743,15400,874
51.4948507,-0.1945544,London,20,874,10400,879
51.4937409,-0.244896,London,17,242,4700,882
51.5156471,-0.1572443,London,25,1400,19300,883
51.5174853,-0.1372109,London,50,4400,20400,886
51.4992791,-0.1973593,London,36,876,9700,895
51.5045326,-0.2191174,London,19,703,7400,900
51.5014191,-0.1625805,London,28,953,19100,901
51.4943077,-0.1755579,London,56,782,16000,902
51.5139692,-0.1828202,London,8,850,13600,909
51.5054832,-0.0951196,London,20,1400,19000,917
51.490724,-0.143868,London,14,809,20000,918
51.4778583,-0.0137463,London,5,281,4500,924
51.520181,-0.1256957,London,11,4300,21000,931
51.5055513,-0.1501698,London,17,2200,19800,943
51.4993927,-0.1329128,London,33,3700,20600,944
51.5403942,-0.3697581,London,0,28,1600,944
51.5426351,-0.0073272,London,24,258,3500,945
51.5052587,-0.099176,London,21,1300,20300,947
51.5160484,-0.0880181,London,42,2300,16600,949
51.4992789,-0.2090733,London,3,347,8400,955
51.525535,-0.1180354,London,9,2500,21900,959
51.5001979,-0.1795357,London,9,883,14900,968
51.4920287,-0.1917801,London,29,914,11100,975
51.4958184,-0.1813958,London,5,736,14100,984
51.4919083,-0.1684398,London,7,870,18200,1003
51.5173303,-0.1180966,London,30,2900,21900,1008
51.4950098,-0.1906195,London,14,939,11200,1016
51.511879,-0.118552,London,53,3100,21900,1017
51.5084195,0.0253216,London,10,92,2800,1018
51.5111922,-0.1194006,London,252,3200,21700,1021
51.4756558,-0.1813888,London,4,375,13900,1032
51.521759,-0.1425381,London,26,3600,20100,1034
51.5077459,-0.1378733,London,60,4400,20300,1039
51.5357597,-0.1902591,London,10,391,10700,1042
51.4942654,-0.1366026,London,13,1300,20400,1046
51.4948465,-0.1187481,London,2,1200,21700,1047
51.4956883,-0.1827878,London,35,779,13700,1057
51.5054544,-0.2262216,London,17,725,7100,1069
51.4689559,-0.1787256,London,9,273,14100,1071
51.5106538,-0.0773676,London,26,2100,13200,1082
51.531427,-0.126133,London,37,1400,20800,1110
51.4988817,-0.1062888,London,8,795,21400,1114
